가게명,카테고리,주소,전화번호
양양양꼬치 부산대점,중식,부산 금정구 금강로 268-1,051-517-6008
홍대쌀국수 NC백화점 부산대점,기타,부산 금정구 부산대학로63번길 2,
잇쇼우안스테이크 본점,양식,부산 금정구 부산대학로50번길 40,051-515-0019
델라고 부산대점,양식,부산 금정구 금강로 253-1,051-515-1504
미식가,한식,부산 금정구 장전로 49,051-516-9752
정진영 요리술집(정진영펍),기타,부산 금정구 금강로 271,0503-7152-1811
리멘시타,양식,부산 금정구 금강로 254,051-513-1001
부산대 우쭈쭈,한식,부산 금정구 부산대학로49번길 19,051-583-5133
김해원조뒷고기,한식,부산 금정구 금강로 239,051-514-2732
칠성돌곱창,한식,부산 금정구 부산대학로49번길 49,051-515-1061
대박횟집,한식,부산 금정구 금강로 276-8,
진주비봉식당,한식,부산 금정구 부산대학로49번길 13,051-518-1146
대길고추불고기 2호점,한식,부산 금정구 장전로 47,051-516-4707
칼맛나는푸짐한횟집 별관,한식,부산 금정구 장전온천천로 79,051-513-9883
개성상인,한식,부산 금정구 금강로 248-5,051-515-5253
설봉돼지국밥,한식,부산 금정구 수림로49번길 6,051-582-9288
홍보석 숯불구이,한식,부산 금정구 금강로 256-7,051-581-0950
고기는모름지기 부산대점,한식,부산 금정구 금정로91번길 2,051-518-2885
만서리이가네막국수,한식,부산 금정구 식물원로 27,051-517-2226
가야공원돼지국밥 부산대점,한식,부산 금정구 장전온천천로 87,051-582-0630
자마미등갈비 부산대점,한식,부산 금정구 부산대학로49번길 22,
칼집삼겹 부산대본점,한식,부산 금정구 금정로 59-4,051-513-9392
육수재,한식,부산 금정구 금강로 252,
곁집,한식,부산 금정구 금강로 254,
서문국수,한식,부산 금정구 장전로12번길 32-5,051-516-6555
식당3선 금정점,한식,부산 금정구 중앙대로 1709,051-512-9990
진진일품물횟집,한식,부산 금정구 식물원로44번길 14,051-582-9910
시골통돼지볶음 부산대점,한식,부산 금정구 부산대학로50번길 37,051-515-7747
땡삼이닭도리,한식,부산 금정구 금정로91번길 16,051-513-9999
크라운닭발 부산대본점,한식,부산 금정구 부산대학로38번길 12,051-583-6539
김해뒷고기 고가,한식,부산 금정구 금강로 276-9,051-517-6148
부산대퇴근길,한식,부산 금정구 장전로12번길 65,051-512-0279
터줏집돼지국밥,한식,부산 금정구 부산대학로49번길 13,051-581-1578
더통큰집 본점,한식,부산 금정구 금정로60번길 7-3,051-512-2331
유림부대밀면,한식,부산 금정구 부산대학로63번길 21-5,
내가찜한닭 부산대점,한식,부산 금정구 부산대학로 57,
효원주가,한식,부산 금정구 부산대학로50번길 16,
도야지면옥 본점,한식,부산 금정구 장전온천천로 39,051-937-7751
온결,한식,부산 금정구 부산대학로63번길 21,
바다사랑횟집,한식,부산 금정구 장전온천천로 77,051-512-7944
부대막창,한식,부산 금정구 부산대학로50번길 11-10,051-583-5578
두부마을,한식,부산 금정구 금강로321번길 70,
그집짬뽕0927 부산대점,중식,부산 금정구 부산대학로 53-1,
미각반점,중식,부산 금정구 장전로 38,051-581-6229
라메이사천훠궈,중식,부산 금정구 부산대학로38번길 15,051-581-5650
수림,중식,부산 금정구 금강로 286,051-517-1931
왕푸징,중식,부산 금정구 부산대학로49번길 42,051-514-4848
마라내음 부산대점,중식,부산 금정구 부산대학로 61,051-518-2260
리틀차이나 성욱반점,중식,부산 금정구 금강로 299,051-517-8818
홍콩반점0410 부산대점,중식,부산 금정구 부산대학로64번길 34,051-516-0410
하얼빈,중식,부산 금정구 금정로 61-1,051-515-8744
대일반점,중식,부산 금정구 수림로81번길 63,051-581-3650
구구향도삭면 부산본점,중식,부산 금정구 금강로 258,
명장허짜장,중식,부산 금정구 금정로149번길 13,051-512-2977
포레스트오늘숲 부산대NC점,중식,부산 금정구 금강로 254-1,
라쿵푸마라탕 부산대점,중식,부산 금정구 금정로68번길 12-4,051-515-8922
칸웨이,중식,부산 금정구 부산대학로63번길 2,
천라쿵푸마라탕 본점,중식,부산 금정구 금강로 248-8,051-583-4666
대가호짬뽕 부산대본점,중식,부산 금정구 장전로 53,051-512-9044
아리산,중식,부산 금정구 금정로68번길 31-6,051-581-1691
춘리마라탕,중식,부산 금정구 금강로321번길 50,051-581-3650
짬뽕상회 부산대점,중식,부산 금정구 부산대학로38번길 9,051-513-3287
장호가양꼬치 부산대점,중식,부산 금정구 부산대학로38번길 13,051-512-8673
춘리마라탕 부산장전점,중식,부산 금정구 금강로 247-6,051-515-8612
구구향면가,중식,부산 금정구 금강로279번길 81-6,051-710-3775
스마일마라탕,중식,부산 금정구 금강로291번길 1,
한신관,중식,부산 금정구 중앙대로1685번길 22,
범짜장 본점,중식,부산 금정구 장전온천천로79번길 22,051-583-9996
목림양꼬치마라면,중식,부산 금정구 수림로85번길 60,
홍주방 부산대점,중식,부산 금정구 부산대학로49번길 38,051-515-3555
청해루,중식,부산 금정구 중앙대로 1606,051-514-1894
금문,중식,부산 동래구 온천장로119번길 57,051-555-4987
동운반점 온천장본점,중식,부산 동래구 온천장로119번길 7,051-556-9135
장호가양꼬치 2호점,중식,부산 금정구 부산대학로38번길 17,051-513-8672
진주성,중식,부산 금정구 수림로 53,051-581-5505
미가원마라탕 부산대점,중식,부산 금정구 금강로 253,070-7818-9499
라화공방 부산대점26호점,중식,부산 금정구 금정로68번길 41,051-515-1088
짬뽕관 NC백화점부산대점,중식,부산 금정구 부산대학로63번길 2,
황금양꼬치,중식,부산 금정구 장전로12번길 31,
온천만두,중식,부산 동래구 온천장로125번길 61-2,051-553-3730
도시야식,중식,부산 금정구 금정로91번길 20,051-710-0927
명가할머니양꼬치 2호점,중식,부산 금정구 금강로 246-2,051-516-6669
스시심타카이,일식,부산 금정구 부산대학로 29,010-2847-3576
돈까스겸,일식,부산 금정구 부산대학로63번길 48,051-513-5633
우마이도 부산대점,일식,부산 금정구 금강로 247-5,051-514-8785
교토밥상,일식,부산 금정구 금강로 270,070-4122-5858
모시모시,일식,부산 금정구 금강로 271-5,051-515-6245
코하루,일식,부산 금정구 부산대학로38번길 16,051-516-4392
나오리쇼쿠 부산대점,일식,부산 금정구 금강로 271-14,010-5144-4145
야타이스시,일식,부산 금정구 부산대학로38번길 40,051-518-1314
코타츠,일식,부산 금정구 부산대학로49번길 18,010-2607-4918
펀치,일식,부산 금정구 부산대학로38번길 10,0507-1440-3063
어가가이텐스시,일식,부산 금정구 장전온천천로 95,051-513-5354
스스키노 부산대점,일식,부산 금정구 부산대학로49번길 43,051-583-8263
인자한키친,일식,부산 금정구 부산대학로64번길 128,
교자비루,기타,부산 금정구 금강로 284,010-8191-5643
야키도리 디귿,일식,부산 금정구 부산대학로50번길 43,
텐동롯코,일식,부산 금정구 부산대학로49번길 38,
스시마이우 부산대점,일식,부산 금정구 부산대학로 34,051-582-3339
혼돈불고기돈까스 함박스테이크,일식,부산 금정구 부산대학로49번길 43,051-517-4500
라멘정 부산대학점,일식,부산 금정구 부산대학로49번길 16,
스시미도리,일식,부산 금정구 금정로91번길 16,051-513-4223
마마도마 부산대점,일식,부산 금정구 금강로 248-5,051-582-9711
상생라멘 부산대점,일식,부산 금정구 금강로 278,051-947-5743
겐쇼심야라멘,일식,부산 금정구 부산대학로 37,
물고기 부산대점,기타,부산 금정구 금강로 271-4,051-517-5165
꽃달,기타,부산 금정구 부산대학로50번길 45,
겐로쿠우동 부산대점,일식,부산 금정구 부산대학로 45-1,
키햐아 부산대점,일식,부산 금정구 금정로91번길 8,070-4129-6056
키무엔라멘,일식,부산 금정구 장전온천천로73번길 6,
라멘쿠우,일식,부산 금정구 금강로 280,
물고기자리,기타,부산 금정구 금강로 244,070-8866-7177
카츠면,일식,부산 금정구 금강로 275,051-582-7779
미슐당 부산대점,일식,부산 금정구 부산대학로63번길 29,0502-5554-2813
맛나는돈까스,일식,부산 금정구 금강로321번길 57,
히다마리,일식,부산 금정구 수림로61번길 23,
수수하지만 굉장해 부산대점,일식,부산 금정구 금정로52번길 23,0507-1351-8725
리틀프랑 본점,양식,부산 금정구 부산대학로 50,051-581-0056
마린파스타 부산대점,양식,부산 금정구 부산대학로63번길 47,051-913-2399
컬러드,양식,부산 금정구 부산대학로63번길 39,051-518-3771
에픽키친,양식,부산 금정구 금정로 62-1,
코코브라운 부산대본점,양식,부산 금정구 금강로 250,051-582-0777
해쉬,양식,부산 금정구 금강로 248-3,0507-1413-2349
서양식당,양식,부산 금정구 금정로 59-1,051-518-0929
베이스먼트,양식,부산 금정구 금강로 276,051-583-9454
테라비 부산대점,양식,부산 금정구 장전로20번길 28,070-7774-9589
몽포트,양식,부산 금정구 부산대학로63번길 7,051-583-0981
피자몰 NC백화점부산대점,양식,부산 금정구 부산대학로63번길 2,051-509-7401
크레딧버거,양식,부산 금정구 장전로12번길 15,010-4225-1465
레스토랑우디,양식,부산 금정구 식물원로 36-5,051-911-7938
나이트폴,양식,부산 금정구 금강로321번길 7,
키노,양식,부산 금정구 장전로12번길 30,0503-7150-6689
올라,양식,부산 금정구 부산대학로 33-4,0503-7154-3192
멜버른마켓,양식,부산 금정구 장전온천천로83번길 17-1,0507-1359-8715
호작,양식,부산 금정구 장전로20번길 22,010-9839-7790
칠리앤버건디,양식,부산 금정구 부산대학로50번길 45,010-2523-9303
파파존스 부산대점,양식,부산 금정구 부산대학로 58,051-512-8144
노모어피자 부산대점,양식,부산 금정구 금정로68번길 22,070-7542-4736
피나치공 부산대점,양식,부산 금정구 금강로 292,051-583-0034
피자와썹 부산금정점,양식,부산 금정구 금강로321번길 15,051-515-2102
쉐기욤,양식,부산 금정구 금정로19번길 16,0507-1370-7545
도미노피자 부산대점,양식,부산 금정구 금정로 54,051-517-3082
피자스쿨 부산장전1동점,양식,부산 금정구 수림로61번길 44,051-512-8292
피자뿌 부산대점,양식,부산 금정구 수림로71번길 42,051-518-5910
라비앙로즈,양식,부산 금정구 금샘로 15,
제멜리아,양식,부산 금정구 부산대학로49번길 42-1,051-514-9822
피자먹다 부산대점,양식,부산 금정구 금강로 271-11,051-581-3229
히게,양식,부산 금정구 금강로 288-1,0507-1392-6191
애요스다이닝 부산대점,양식,부산 금정구 금강로 267-3,
비비드드림,양식,부산 금정구 장전로12번길 18-6,010-9580-5118
세멜레,양식,부산 금정구 금강로 323,
코지하우스 부곡대동점,양식,부산 금정구 부곡로141번길 13,051-995-7272
옐로우피자 부산대점,양식,부산 금정구 금정로 121,051-513-1218
바이트사이트,양식,부산 금정구 수림로61번길 60,0507-1496-0852
고래한입피자 부산대점,양식,부산 금정구 금정로60번길 14,051-714-2944
프랭크버거 부산대점,양식,부산 금정구 장전온천천로 51,051-515-0057
빽보이피자 부산장전점,양식,부산 금정구 금강로 338-1,1668-3206
프레드피자 부산대점,양식,부산 금정구 장전로20번길 28,051-513-7477
히어로보드게임카페 부산대점,기타,부산 금정구 부산대학로 29,
카페 모먼트리,기타,부산 금정구 구서중앙로 20,0502-5552-9548
카페 페페,기타,부산 동래구 온천천로 431,051-992-1333
라끄베이커리카페,기타,부산 금정구 놀이마당로 37,051-508-2008
흐를류 온천천카페거리,일식,부산 동래구 온천천로431번길 4-9,0503-7151-8957
푸드카페김밥천국 연산에스케이뷰점,기타,부산 연제구 중앙대로1124번길 15,051-853-7999
참새방앗간,기타,부산 동래구 충렬대로140번길 41,
숨터,양식,부산 북구 만덕고개길 131,051-343-5110
뚜레쥬르 부산사직점,기타,부산 동래구 사직로 16,051-501-0453
삼겹 카페 사직본점,기타,부산 동래구 석사로33번길 7,
간식집,기타,부산 연제구 중앙대로1150번길 31,051-989-5751
